Year,age,PresentAddress,CrimeGroup_Name
2016,18,"HIREBADAWADAGI,TQ-HUNAGUND",THEFT
2016,17,"AMINAGAD,TQ-HUNAGUND",BURGLARY - NIGHT
2016,45,"KHANADAL,TQ-RAYABHAG",THEFT
2016,39,"AMINAGAD,TQ-HUNAGUND",MURDER
2016,30,"AMINAGADA,TQ-HUNAGUND",THEFT
2016,26,"BIDARAKUNDI,TQ-MUDHEBIHAL",THEFT
2016,38,"BAGALKOT,TQ-BAGALAKOT",THEFT
2017,35,"GANGUR,TQ-HUNGUND",MURDER
2017,30,"AIHOLE NOW AT OLD HUBLI,TQ-HUNAGUND",BURGLARY - NIGHT
2017,55,"UPNAL S C,TQ-HUNAGUND",MURDER
2017,43,",",BURGLARY - NIGHT
2017,40,"KAMATAGI,TQ=HUNAGUND",MURDER
2017,0,",",BURGLARY - NIGHT
2017,52,"AMINAGAD,TQ:HUNAGUND",THEFT
2018,25,"HALLIGUDI,TQ-MUNDARAGI",MURDER
2019,27,"BAIRAMATTI,TQ-BAGALKOT",BURGLARY - NIGHT
2020,46,"TALLIKERI,TQ-HUNGUND",BURGLARY - NIGHT
2020,21,"TALLIKERI,TQ-HUNGUND",THEFT
2020,20,"AMINAGAD,TQ-HUNGUND",THEFT
2020,28,"HOSUR VILLAGE,TQ BADAMI",MURDER
2020,32,"AMINAGAD,AMINAGD",THEFT
2020,50,"NANDIKESHAVAR,TQ BADAMI",BURGLARY - NIGHT
2020,34,"KATAGUR VILLAGE,TQ HUNAGUND",MURDER
2020,28,"AMINAGAD LT,AMINAGAD",BURGLARY - NIGHT
2020,14,"BHIMANAGAD VILLAGE,TQ ILAKL",THEFT
2020,40,",",THEFT
2021,51,"SULEBHAVI,TQ-HUNGUND",BURGLARY - NIGHT
2021,25,"RAKKASAGI,TQ-HUNGUND",BURGLARY - NIGHT
2021,30,"CHOUDAPUR,TQ:BAGALKOT",BURGLARY - NIGHT
2021,45,"AMINAGAD,TQ-HUNGUND",THEFT
2021,55,"KAMATAGI,TQ HUNAGUND",THEFT
2021,43,"KULLUR VILLAGE,TQ RAMADURGA",THEFT
2021,14,"HIREMAGI VILLAGE,TQ:HUNAGUND",THEFT
2021,40,"BAGALKOT,BAGALKOT",THEFT
2022,50,"TALLIKERI,TQ ILKAL",THEFT
2022,25,"BAGALKOTE,TQ BAGALKOTE",BURGLARY - NIGHT
2022,30,"PAWAGAD,TQ TUMAKURU",BURGLARY - NIGHT
2022,22,"GUDUR,TQ ILKAL",MURDER
2022,48,"SANTE KELUR,TQ LINGASUR",THEFT
2022,62,"GUDUR,TQ ILKAL",THEFT
2022,70,"GUDUR S C,TQ ILAKL",MURDER
2022,49,"GUDUR S C,TQ ILKAL",THEFT
2022,63,"GUDUR,TQ ILKAL",MURDER
2022,45,"MURUDI,TQ ILAKL",MURDER
2022,22,"MURUDI,TQ ILAKL",THEFT
2023,19,"SULEBHAVI NOW AT SHIRUR,TQ BAGALKOTE",MURDER
2023,27,"ANAPAKATTI,TQ  HUNAGUND",THEFT
2023,31,"SULEBHAVI,TQ HUNAGUND",THEFT
2023,26,"SHIIRUR,TQ BAGALKOTE",BURGLARY - NIGHT
2023,26,"Sebinakatti,TQ:KUSHTAGI",THEFT
2023,21,"KOUJAGANUR,TQ BAGALKOTE",MURDER
2023,19,"CHILAPUR,TQ ILAKL",THEFT
2023,16,"KAMATAGI,TQ HUNAGUND",MURDER
2023,0,"UNKNOWN,UNKNOWN",MURDER
2023,60,"MURUDI,TQ ILAKL",THEFT
